model,feature,importance_mean,importance_std,scoring,business_interpretation
logistic_regression_baseline,FICO Rating,0.08626840018102308,0.002124842091403777,average_precision,Credit bureau quality / creditworthiness signal
logistic_regression_baseline,Number of Active Accounts,0.08032627512269444,0.00432786524655623,average_precision,Requires manual business review
logistic_regression_baseline,Number of Overdue Accounts,0.0491273560067067,0.0032674434414923645,average_precision,Historical repayment stress / delinquency signal
logistic_regression_baseline,FICO Score,0.04413179442078954,0.0023657371552752984,average_precision,Credit bureau quality / creditworthiness signal
logistic_regression_baseline,FICO Rating Ordinal,0.03408878611266647,0.003605510098638127,average_precision,Credit bureau quality / creditworthiness signal
logistic_regression_baseline,Average Account Age,0.02492384716872569,0.0013693314495016962,average_precision,Customer maturity / lifecycle signal
logistic_regression_baseline,OverdueAccountRatio,0.011337316185067415,0.001657983538816416,average_precision,Historical repayment stress / delinquency signal
logistic_regression_baseline,HasZeroCurrentBalance,0.009556137489923422,0.0020693416331096807,average_precision,Outstanding balance / leverage signal
logistic_regression_baseline,Number of Accounts Opened Last 6 Months,0.00913416121865913,0.0020698190106371727,average_precision,Requires manual business review
logistic_regression_baseline,HasNoActiveAccounts,0.008044900999221005,0.0017888796835203067,average_precision,Requires manual business review
logistic_regression_baseline,Current Balance Amount,0.007469172489807696,0.0014335454254304004,average_precision,Outstanding balance / leverage signal
logistic_regression_baseline,CreditHistoryAgeBand,0.0050112717760871115,0.0016217733894385803,average_precision,Customer maturity / lifecycle signal
logistic_regression_baseline,RecentlyOpenedAccountRatio,0.004889215371399458,0.00037228043726149904,average_precision,Requires manual business review
logistic_regression_baseline,Number of Accounts,0.002994015108205339,0.0005110670415728387,average_precision,Requires manual business review
logistic_regression_baseline,InquiryIntensityBand,0.002392343356196458,0.0005355560787353572,average_precision,Requires manual business review
logistic_regression_baseline,Employment Type,0.001482015100268963,0.0007334170286722155,average_precision,Income stability / employment profile signal
logistic_regression_baseline,AccountsPerCreditHistoryMonth,0.0010121660080792071,0.0007885218577267442,average_precision,Requires manual business review
logistic_regression_baseline,InquiryPerCreditHistoryMonth,0.0009484728269455456,0.00035306402798452436,average_precision,Requires manual business review
logistic_regression_baseline,ActiveAccountRatio,0.000822525507007854,0.0011895084755474666,average_precision,Requires manual business review
logistic_regression_baseline,Age,0.0006961364689927252,0.00043725483228607826,average_precision,Customer maturity / lifecycle signal
logistic_regression_baseline,IsBureauExcluded,0.0005530430550120258,0.0006179490667615745,average_precision,Requires manual business review
logistic_regression_baseline,DisbursementMonth,0.0005265834407601866,0.0003411027848589627,average_precision,Requires manual business review
logistic_regression_baseline,DisbursementQuarter,0.00046661368308480443,0.00033498136383135104,average_precision,Requires manual business review
logistic_regression_baseline,Number of Inquiries,0.0003793298096031017,7.912763322363512e-05,average_precision,Recent credit-seeking behavior
logistic_regression_baseline,InstalmentToDisbursedRatio,0.00013535922471688,0.00019488380997589644,average_precision,Exposure size signal
logistic_regression_baseline,InstalmentToDisbursedAmount,0.00013535922471688,0.00019488380997589644,average_precision,Exposure size signal
logistic_regression_baseline,Loan To Value,7.516262203773882e-05,3.3745382350050495e-05,average_precision,Loan exposure relative to asset value
logistic_regression_baseline,CurrentBalancePositiveAmount,2.02624922891248e-05,1.6834631176148976e-05,average_precision,Outstanding balance / leverage signal
logistic_regression_baseline,HasNegativeCurrentBalance,2.02624922891248e-05,1.6834631176148976e-05,average_precision,Outstanding balance / leverage signal
logistic_regression_baseline,Disbursed Amount,1.5277084047438107e-05,7.040783364650671e-06,average_precision,Exposure size signal
logistic_regression_baseline,State,6.642322813477098e-06,1.192006170597546e-05,average_precision,Geographic / portfolio mix signal
logistic_regression_baseline,DisbursementYear,0.0,0.0,average_precision,Requires manual business review
