model,feature,coefficient,abs_coefficient,odds_ratio,effect_direction,business_interpretation
logistic_regression_baseline,low_cardinality_categorical__FICO Rating_Very Good,-0.9671239681716554,0.9671239681716554,0.3801748622945415,decreases_default_risk,Credit bureau quality / creditworthiness signal
logistic_regression_baseline,numeric__FICO Rating Ordinal,-0.8116598569654961,0.8116598569654961,0.44412027794396236,decreases_default_risk,Credit bureau quality / creditworthiness signal
logistic_regression_baseline,numeric__OverdueAccountRatio,0.7414783401848798,0.7414783401848798,2.0990363116421427,increases_deafult_risk,Historical repayment stress / delinquency signal
logistic_regression_baseline,low_cardinality_categorical__FICO Rating_Poor,0.7391390349862599,0.7391390349862599,2.094131763939811,increases_deafult_risk,Credit bureau quality / creditworthiness signal
logistic_regression_baseline,low_cardinality_categorical__FICO Rating_Fair,0.6642862286136266,0.6642862286136266,1.943103094853193,increases_deafult_risk,Credit bureau quality / creditworthiness signal
logistic_regression_baseline,numeric__FICO Score,0.5178132017898178,0.5178132017898178,1.6783534135158118,increases_deafult_risk,Credit bureau quality / creditworthiness signal
logistic_regression_baseline,numeric__Number of Overdue Accounts,0.4524808345384142,0.4524808345384142,1.5722077386404048,increases_deafult_risk,Historical repayment stress / delinquency signal
logistic_regression_baseline,numeric__HasNoActiveAccounts,-0.4292845923396844,0.4292845923396844,0.6509746404204096,decreases_default_risk,Requires manual business review
logistic_regression_baseline,low_cardinality_categorical__FICO Rating_Good,-0.4182293808574259,0.4182293808574259,0.6582112300511045,decreases_default_risk,Credit bureau quality / creditworthiness signal
logistic_regression_baseline,numeric__HasZeroCurrentBalance,-0.39842100766028193,0.39842100766028193,0.6713793123200817,decreases_default_risk,Outstanding balance / leverage signal
logistic_regression_baseline,numeric__Number of Active Accounts,0.37717503872366315,0.37717503872366315,1.458159521416105,increases_deafult_risk,Requires manual business review
logistic_regression_baseline,low_cardinality_categorical__CreditHistoryAgeBand_Very Young,-0.3337811779028346,0.3337811779028346,0.7162104877622103,decreases_default_risk,Customer maturity / lifecycle signal
logistic_regression_baseline,numeric__ActiveAccountRatio,-0.2711428472260543,0.2711428472260543,0.7625075665343608,decreases_default_risk,Requires manual business review
logistic_regression_baseline,numeric__Average Account Age,-0.2224808387975733,0.2224808387975733,0.8005303457272749,decreases_default_risk,Customer maturity / lifecycle signal
logistic_regression_baseline,numeric__IsBureauExcluded,-0.21566984149298607,0.21566984149298607,0.8060013661570711,decreases_default_risk,Requires manual business review
logistic_regression_baseline,low_cardinality_categorical__FICO Rating_Bureau Excluded,-0.21566984149298607,0.21566984149298607,0.8060013661570711,decreases_default_risk,Credit bureau quality / creditworthiness signal
logistic_regression_baseline,low_cardinality_categorical__InquiryIntensityBand_No Inquiry,-0.18849163276783046,0.18849163276783046,0.8282074332135287,decreases_default_risk,Requires manual business review
logistic_regression_baseline,low_cardinality_categorical__CreditHistoryAgeBand_Young,0.15848557915709766,0.15848557915709766,1.1717350266966189,increases_deafult_risk,Customer maturity / lifecycle signal
logistic_regression_baseline,numeric__Number of Accounts Opened Last 6 Months,-0.15270336458953082,0.15270336458953082,0.858384311231911,decreases_default_risk,Requires manual business review
logistic_regression_baseline,numeric__Legit FICO Scores,-0.12926151272017897,0.12926151272017897,0.8787441327262996,decreases_default_risk,Credit bureau quality / creditworthiness signal
logistic_regression_baseline,low_cardinality_categorical__Employment Type_Self employed,-0.10915690025181836,0.10915690025181836,0.8965897313070548,decreases_default_risk,Income stability / employment profile signal
logistic_regression_baseline,numeric__InquiryToAccountRatio,-0.10257472946605085,0.10257472946605085,0.9025107030898833,decreases_default_risk,Requires manual business review
logistic_regression_baseline,numeric__DisbursementQuarter,-0.10188885392176406,0.10188885392176406,0.9031299254400481,decreases_default_risk,Requires manual business review
logistic_regression_baseline,numeric__InquiryPerCreditHistoryMonth,0.09057483095559857,0.09057483095559857,1.0948034297632947,increases_deafult_risk,Requires manual business review
logistic_regression_baseline,low_cardinality_categorical__CreditHistoryAgeBand_Established,0.0869820118282157,0.0869820118282157,1.090877056657896,increases_deafult_risk,Customer maturity / lifecycle signal
logistic_regression_baseline,low_cardinality_categorical__Employment Type_Unknown,-0.07835403740118271,0.07835403740118271,0.9246370125036072,decreases_default_risk,Income stability / employment profile signal
logistic_regression_baseline,numeric__Age,-0.07476048921850108,0.07476048921850108,0.9279657175083134,decreases_default_risk,Customer maturity / lifecycle signal
logistic_regression_baseline,numeric__DisbursementMonth,0.07077827343996536,0.07077827343996536,1.073343210784336,increases_deafult_risk,Requires manual business review
logistic_regression_baseline,numeric__RecentlyOpenedAccountRatio,0.06927645390886907,0.06927645390886907,1.0717324528234433,increases_deafult_risk,Requires manual business review
logistic_regression_baseline,low_cardinality_categorical__InquiryIntensityBand_High Inquiries,0.06783892895213761,0.06783892895213761,1.0701929175009126,increases_deafult_risk,Recent credit-seeking behavior
logistic_regression_baseline,low_cardinality_categorical__InquiryIntensityBand_Single Inquiry,-0.06366101651460636,0.06366101651460636,0.9383230216338623,decreases_default_risk,Requires manual business review
logistic_regression_baseline,low_cardinality_categorical__CreditHistoryAgeBand_Mature,-0.05506016773409172,0.05506016773409172,0.9464282017999577,decreases_default_risk,Customer maturity / lifecycle signal
logistic_regression_baseline,numeric__IsHighLTV,0.052941065264586494,0.052941065264586494,1.0543675044183496,increases_deafult_risk,Requires manual business review
logistic_regression_baseline,numeric__IsVeryHighLTV,0.050057808513906586,0.050057808513906586,1.051331870552434,increases_deafult_risk,Requires manual business review
logistic_regression_baseline,numeric__CurrentBalancePositiveAmount,0.04736650508505122,0.04736650508505122,1.0485062215293448,increases_deafult_risk,Outstanding balance / leverage signal
logistic_regression_baseline,numeric__HasNegativeCurrentBalance,-0.04736650508505122,0.04736650508505122,0.9537377837791043,decreases_default_risk,Outstanding balance / leverage signal
